NHIAREGION,NHIADISTRICT,FACILITYNAME,FACILITYTYPE,OWNERSHIP,INSURANCE,DEPOSITDATE,APPLICATIONCATEGORY,STATUS,RECNUMBER,APPLICATIONDATE,END_DATE
ASHANTI,ASAWASE,TEST AGAIN,Clinic with a specialist,Quasi-public,National Health Insurance Scheme (NHIS) Only,2/25/2020,New Application,Pending Review,ARASO-0215-2020-003,2/20/2020,
ASHANTI,ATWIMA NWABIAGYA,GOD IS ABLE MATERNITY HOME & CLINIC LIMITED,Health Center,Private,National Health Insurance Scheme (NHIS) Only,2/27/2020,Renewal,Approved Credential,ARATN-0404-2020-004,2/27/2020,11/30/2022
GT.ACCRA,OKAIKOI,SIGHT FOR AFRICA EYE CLINIC (OKAIKOI),Clinic,Mission,National Health Insurance Scheme (NHIS) Only,2/28/2020,Renewal,Approved Credential,GAOKA-0406-2020-003,2/24/2020,1/31/2023
CENTRAL,GOMOAMAN,GLOBAL MEDICAL DIAGNOSTICS SERVICES,Diagnostic,Private,National Health Insurance Scheme (NHIS) Only,3/5/2020,New Application,Approved Credential,CRGOM-0209-2020-002,3/4/2020,6/30/2026
WESTERN,ELEMBELLE,NKROFUL HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/19/2020,Renewal,Approved Credential,WRELO-0404-2020-017,3/13/2020,12/1/2022
WESTERN,BIBIANI-ANHWIASO BEKWAI,ANHWIASO,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/24/2020,New Application,Payment Submitted - Pending Verification,WRBAB-0204-2020-001,2/25/2020,
WESTERN,ELEMBELLE,AKROPONG CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,4/3/2020,Renewal,Approved Credential,WRELO-0410-2020-018,3/19/2020,12/1/2022
BONO_EAST,KINTAMPO NORTH,SUNKWA KINTAMPO CLINIC,Clinic with a specialist,Private,National Health Insurance Scheme (NHIS) Only,4/27/2020,Renewal,Approved Credential,BAKTN-0415-2020-002,4/27/2020,5/31/2022
WESTERN,TAKORADI MHIS,ADIENTEM CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,4/28/2020,Renewal,Approved Credential,WRTSM-0410-2020-021,4/28/2020,5/31/2022
WESTERN,TAKORADI MHIS,ASSAKAE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,4/28/2020,Renewal,Approved Credential,WRTSM-0410-2020-023,4/28/2020,8/1/2024
GT.ACCRA,ABLEKUMA MHIS,KORLE BU TEACHING HOSP,Tertiary  care hospital,Public,National Health Insurance Scheme (NHIS) Only,4/30/2020,Renewal,On Hold,GAABK-0401-2020-004,3/18/2020,1/31/2020
ASHANTI,EJISU-JUABEN,JUABEN GOVERNMENT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,4/30/2020,Renewal,Approved Credential,AREJB-0403-2020-012,4/27/2020,5/31/2022
ASHANTI,EJISU-JUABEN,EJISU GOVERNMENT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,5/4/2020,Renewal,Approved Credential,AREJB-0403-2020-009,4/24/2020,8/31/2022
ASHANTI,MANHYIA SUB-METRO,ABRAFI MEMORIAL HOSPITAL,Clinic,Mission,National Health Insurance Scheme (NHIS) Only,5/5/2020,Renewal,Approved Credential,ARMSM-0415-2020-018,4/30/2020,7/31/2023
ASHANTI,BANTAMA SUB-METRO,METRO HEALTH SERVICES LTD,Clinic,Private,National Health Insurance Scheme (NHIS) Only,5/7/2020,Renewal,Approved Credential,ARBSM-0406-2020-022,5/7/2020,5/1/2022
ASHANTI,AFIGYA SEKYERE,"SDA HOSPITAL, ASAMANG",Primary Care Hospital,Mission,National Health Insurance Scheme (NHIS) Only,5/7/2020,New Application,Approved Credential,ARAFS-0203-2020-021,5/7/2020,5/31/2027
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,SURANO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-015,3/4/2020,6/1/2023
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,ABODUABO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-016,3/4/2020,12/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,ANHWIASO HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0404-2020-002,2/27/2020,6/1/2024
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,ASAWINSO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-004,3/3/2020,2/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,ASHIAM CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-003,3/3/2020,12/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,BASSENGELE HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-007,3/3/2020,12/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,CHIRANO HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0404-2020-009,3/3/2020,6/1/2024
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,HUMJIBRE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-010,3/3/2020,12/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,KUMKUMSO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-012,3/4/2020,12/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,BETHLEHEM CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-008,3/3/2020,12/1/2022
CENTRAL,ASSIN SOUTH,FIRST CLASS HOSPITAL,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,CRANN-0403-2020-003,4/28/2020,5/31/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,ATRONSU CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-005,3/3/2020,12/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,ASEMPANAYE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-006,3/3/2020,11/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,DOMINIBO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-011,3/4/2020,12/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,WENCHI CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-013,3/4/2020,12/1/2022
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,MMEREWA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/11/2020,Renewal,Approved Credential,WRBAB-0410-2020-014,3/4/2020,3/1/2023
GT.ACCRA,MADINA MHIS,NORTH LEGON HOSPITAL (PHIS ONLY),Clinic,Private,Private Health Insurance Scheme (PHIS) Only,5/12/2020,Renewal,Approved Credential,GAMAD-0403-2020-010,5/12/2020,5/31/2022
ASHANTI,AHAFO - ANO NORTH,ANANE/ AYA CLINIC,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,5/14/2020,Renewal,Approved Credential,ARAHN-0405-2020-025,5/12/2020,6/1/2024
AHAFO,TANO NORTH HIS,BOMAA POLYCLINIC,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,5/14/2020,Renewal,Approved Credential,AHTAN-0403-2020-002,5/14/2020,6/30/2023
GT.ACCRA,TEMA MMHIS,RECHOBED PHARMACY,Pharmacy,Private,Both,5/14/2020,New Application,Approved Credential,GATMM-0211-2020-011,5/13/2020,12/31/2026
NORTHERN,TOLON/KUMBUNGU,LINGBUNG CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/15/2020,Renewal,Approved Credential,NRTKB-0410-2020-001,4/30/2020,8/31/2022
ASHANTI,ASANTE AKIM NORTH DMHIS,KONONGO - ODUMASI GOVERNMENT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,5/16/2020,Renewal,Approved Credential,ARAAN-0403-2020-020,5/6/2020,5/31/2023
